ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
102,403,7,-7,46.142857142857146,25.0,80,10,240,MOVE_LEFT
144,361,7,-7,40.142857142857146,25.0,50,40,240,MOVE_LEFT
141,263,-7,-7,999,100,80,110,240,NONE
99,295,-7,7,999,100,45,140,240,MOVE_RIGHT
92,302,-7,7,16.857142857142858,26.0,55,145,240,MOVE_LEFT
92,302,-7,7,999,100,50,145,240,MOVE_RIGHT
78,316,-7,7,999,100,60,155,240,MOVE_RIGHT
71,323,-7,7,999,100,65,160,240,MOVE_RIGHT
57,337,-7,7,11.857142857142858,26.0,30,170,240,MOVE_LEFT
43,351,-7,7,9.857142857142858,26.0,20,160,240,MOVE_LEFT
29,365,-7,7,999,100,75,150,240,MOVE_RIGHT
22,372,-7,7,999,100,75,145,240,MOVE_RIGHT
15,379,-7,7,999,100,75,140,240,MOVE_RIGHT
8,386,-7,7,4.857142857142857,26.0,10,135,240,NONE
1,393,-7,7,999,100,75,130,240,MOVE_RIGHT
7,407,7,7,1.8571428571428572,20.0,5,120,240,MOVE_LEFT
14,410,7,3,3.3333333333333335,37.333333333333336,5,115,240,MOVE_RIGHT
28,396,7,-7,999,100,15,105,240,MOVE_RIGHT
42,382,7,-7,43.142857142857146,56.0,60,95,240,MOVE_LEFT
42,382,7,-7,999,100,25,95,240,MOVE_RIGHT
63,361,7,-7,999,100,40,80,240,MOVE_RIGHT
84,340,7,-7,37.142857142857146,56.0,40,65,240,NONE
91,333,7,-7,999,100,60,60,240,MOVE_RIGHT
119,305,7,-7,32.142857142857146,56.0,40,40,240,NONE
147,277,7,-7,999,100,75,20,240,MOVE_RIGHT
154,270,7,-7,999,100,75,15,240,MOVE_RIGHT
189,235,7,-7,999,100,75,10,240,MOVE_RIGHT
169,207,-7,-7,18.142857142857142,42.0,35,30,240,MOVE_LEFT
162,200,-7,-7,17.142857142857142,42.0,30,35,240,MOVE_LEFT
99,137,-7,-7,999,100,75,80,240,MOVE_RIGHT
85,123,-7,-7,6.142857142857143,42.0,25,90,240,NONE
36,80,-7,-1,0.0,36.0,25,125,240,MOVE_LEFT
36,80,-7,-1,999,100,75,125,240,MOVE_RIGHT
29,87,-7,7,999,100,20,130,240,MOVE_RIGHT
8,108,-7,7,44.57142857142857,96.0,75,145,240,NONE
0,122,-1,7,999,100,45,155,240,MOVE_RIGHT
15,137,8,8,999,100,55,165,240,MOVE_RIGHT
15,137,8,8,35.375,102.0,75,165,240,MOVE_RIGHT
23,145,8,8,999,100,60,170,240,MOVE_RIGHT
23,145,8,8,34.375,102.0,80,170,240,NONE
31,153,8,8,33.375,102.0,75,165,240,MOVE_RIGHT
31,153,8,8,999,100,65,165,240,MOVE_RIGHT
39,161,8,8,999,100,70,160,240,MOVE_RIGHT
39,161,8,8,32.375,102.0,80,160,240,NONE
47,169,8,8,999,100,70,155,240,MOVE_RIGHT
55,177,8,8,999,100,70,150,240,MOVE_RIGHT
55,177,8,8,30.375,102.0,80,150,240,NONE
63,185,8,8,29.375,102.0,80,145,240,NONE
63,185,8,8,999,100,75,145,240,MOVE_RIGHT
71,193,8,8,999,100,75,140,240,MOVE_RIGHT
71,193,8,8,28.375,102.0,85,140,240,NONE
79,201,8,8,27.375,102.0,80,135,240,NONE
87,209,8,8,26.375,102.0,75,130,240,MOVE_RIGHT
87,209,8,8,999,100,80,130,240,NONE
95,217,8,8,999,100,80,125,240,NONE
95,217,8,8,25.375,102.0,80,125,240,NONE
103,225,8,8,24.375,102.0,85,120,240,NONE
103,225,8,8,999,100,85,120,240,MOVE_LEFT
119,222,8,-8,17.75,139.0,85,110,240,MOVE_RIGHT
119,222,8,-8,999,100,85,110,240,MOVE_LEFT
127,214,8,-8,999,100,80,105,240,NONE
127,214,8,-8,16.75,139.0,90,105,240,MOVE_RIGHT
135,206,8,-8,999,100,80,100,240,NONE
135,206,8,-8,15.75,139.0,95,100,240,MOVE_RIGHT
143,198,8,-8,999,100,75,95,240,MOVE_RIGHT
143,198,8,-8,14.75,139.0,100,95,240,MOVE_RIGHT
151,190,8,-8,999,100,80,90,240,NONE
OVE_RIGHT
159,182,8,-8,999,100,80,85,240,NONE
159,182,8,-8,12.75,139.0,110,85,240,MOVE_RIGHT
167,174,8,-8,11.75,139.0,110,80,240,MOVE_RIGHT
167,174,8,-8,999,100,85,80,240,MOVE_LEFT
175,166,8,-8,10.75,139.0,115,75,240,NONE
175,166,8,-8,999,100,85,75,240,MOVE_LEFT
183,158,8,-8,999,100,80,70,240,NONE
183,158,8,-8,9.75,139.0,115,70,240,NONE
190,150,7,-8,999,100,80,65,240,NONE
190,150,7,-8,8.75,148.75,110,65,240,MOVE_RIGHT
182,142,-8,-8,999,100,75,60,240,MOVE_RIGHT
182,142,-8,-8,7.75,120.0,115,60,240,MOVE_LEFT
174,134,-8,-8,6.75,120.0,110,55,240,MOVE_LEFT
174,134,-8,-8,999,100,80,55,240,NONE
166,126,-8,-8,5.75,120.0,110,50,240,MOVE_LEFT
158,118,-8,-8,4.75,120.0,110,45,240,MOVE_LEFT
158,118,-8,-8,999,100,85,45,240,MOVE_LEFT
150,110,-8,-8,999,100,80,40,240,NONE
150,110,-8,-8,3.75,120.0,105,40,240,MOVE_LEFT
142,102,-8,-8,999,100,75,35,240,MOVE_RIGHT
142,102,-8,-8,2.75,120.0,105,35,240,MOVE_LEFT
134,94,-8,-8,999,100,70,30,240,MOVE_RIGHT
134,94,-8,-8,1.75,120.0,100,30,240,NONE
126,86,-8,-8,0.75,120.0,100,25,240,NONE

118,80,-8,-6,999,100,80,20,240,NONE
126,88,8,8,41.5,58.0,80,15,240,MOVE_LEFT
134,96,8,8,999,100,95,10,240,MOVE_LEFT
134,96,8,8,40.5,58.0,75,10,240,MOVE_LEFT
142,104,8,8,39.5,58.0,70,5,240,MOVE_LEFT
142,104,8,8,999,100,95,5,240,MOVE_LEFT
150,112,8,8,999,100,90,0,240,MOVE_LEFT
150,112,8,8,38.5,58.0,65,0,240,MOVE_LEFT
158,120,8,8,37.5,58.0,60,5,240,MOVE_LEFT
158,120,8,8,999,100,85,5,240,MOVE_LEFT
166,128,8,8,999,100,80,10,240,NONE
166,128,8,8,36.5,58.0,55,10,240,MOVE_LEFT
174,136,8,8,35.5,58.0,50,15,240,MOVE_LEFT
174,136,8,8,999,100,85,15,240,MOVE_LEFT
182,144,8,8,34.5,58.0,45,20,240,MOVE_LEFT
182,144,8,8,999,100,80,20,240,NONE
190,152,8,8,33.5,58.0,45,25,240,MOVE_LEFT
190,152,8,8,999,100,80,25,240,NONE
182,160,-8,8,32.5,78.0,40,30,240,MOVE_RIGHT
182,160,-8,8,999,100,80,30,240,NONE
174,168,-8,8,999,100,75,35,240,MOVE_RIGHT
174,168,-8,8,31.5,78.0,45,35,240,MOVE_RIGHT
166,176,-8,8,999,100,80,40,240,NONE
_RIGHT
158,184,-8,8,29.5,78.0,50,45,240,MOVE_RIGHT
158,184,-8,8,999,100,80,45,240,NONE
150,192,-8,8,999,100,75,50,240,MOVE_RIGHT
150,192,-8,8,28.5,78.0,55,50,240,NONE
142,200,-8,8,27.5,78.0,50,55,240,MOVE_RIGHT
142,200,-8,8,999,100,80,55,240,NONE
134,208,-8,8,999,100,80,60,240,NONE
134,208,-8,8,26.5,78.0,55,60,240,NONE
126,216,-8,8,25.5,78.0,50,65,240,MOVE_RIGHT
126,216,-8,8,999,100,75,65,240,MOVE_RIGHT
118,224,-8,8,999,100,80,70,240,NONE
118,224,-8,8,24.5,78.0,50,70,240,MOVE_RIGHT
110,232,-8,8,23.5,78.0,45,75,240,MOVE_RIGHT
110,232,-8,8,999,100,80,75,240,NONE
