ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
102,403,7,-7,46.142857142857146,25.0,80,10,240,MOVE_LEFT
109,396,7,-7,45.142857142857146,25.0,75,15,240,MOVE_LEFT
116,389,7,-7,44.142857142857146,25.0,70,20,240,MOVE_LEFT
123,382,7,-7,999,100,75,25,240,MOVE_RIGHT
123,382,7,-7,43.142857142857146,25.0,65,25,240,MOVE_LEFT
130,375,7,-7,999,100,75,30,240,MOVE_RIGHT
130,375,7,-7,42.142857142857146,25.0,60,30,240,MOVE_LEFT
137,368,7,-7,999,100,75,35,240,MOVE_RIGHT
137,368,7,-7,41.142857142857146,25.0,55,35,240,MOVE_LEFT
144,361,7,-7,999,100,75,40,240,MOVE_RIGHT
144,361,7,-7,40.142857142857146,25.0,50,40,240,MOVE_LEFT
151,354,7,-7,39.142857142857146,25.0,45,45,240,MOVE_LEFT
158,347,7,-7,38.142857142857146,25.0,40,50,240,MOVE_LEFT
165,340,7,-7,37.142857142857146,25.0,35,55,240,MOVE_LEFT
172,333,7,-7,36.142857142857146,25.0,30,60,240,MOVE_LEFT
172,333,7,-7,999,100,75,60,240,MOVE_RIGHT
179,326,7,-7,35.142857142857146,25.0,25,65,240,MOVE_LEFT
186,319,7,-7,34.142857142857146,25.0,20,70,240,MOVE_LEFT
190,312,4,-7,33.142857142857146,77.42857142857144,15,75,240,MOVE_RIGHT
183,305,-7,-7,999,100,75,80,240,MOVE_RIGHT
176,298,-7,-7,31.142857142857142,42.0,15,85,240,MOVE_RIGHT
176,298,-7,-7,999,100,75,85,240,MOVE_RIGHT
169,291,-7,-7,30.142857142857142,42.0,15,90,240,MOVE_RIGHT
169,291,-7,-7,999,100,75,90,240,MOVE_RIGHT
162,284,-7,-7,29.142857142857142,42.0,15,95,240,MOVE_RIGHT
162,284,-7,-7,999,100,75,95,240,MOVE_RIGHT
148,270,-7,-7,999,100,85,105,240,MOVE_LEFT
134,260,-7,-3,60.0,114.0,25,115,240,MOVE_RIGHT
134,260,-7,-3,999,100,85,115,240,MOVE_LEFT
127,267,-7,7,21.857142857142858,26.0,85,120,240,MOVE_LEFT
120,274,-7,7,999,100,35,125,240,MOVE_RIGHT
120,274,-7,7,20.857142857142858,26.0,80,125,240,MOVE_LEFT
113,281,-7,7,19.857142857142858,26.0,75,130,240,MOVE_LEFT
106,288,-7,7,18.857142857142858,26.0,70,135,240,MOVE_LEFT
99,295,-7,7,999,100,50,140,240,MOVE_RIGHT
240,MOVE_LEFT
92,302,-7,7,999,100,55,145,240,MOVE_RIGHT
92,302,-7,7,16.857142857142858,26.0,60,145,240,MOVE_LEFT
85,309,-7,7,999,100,60,150,240,MOVE_RIGHT
240,MOVE_LEFT
78,316,-7,7,14.857142857142858,26.0,50,155,240,MOVE_LEFT
78,316,-7,7,999,100,65,155,240,MOVE_RIGHT
71,323,-7,7,13.857142857142858,26.0,45,160,240,MOVE_LEFT
64,330,-7,7,12.857142857142858,26.0,40,165,240,MOVE_LEFT
64,330,-7,7,999,100,70,165,240,MOVE_RIGHT
57,337,-7,7,11.857142857142858,26.0,35,170,240,MOVE_LEFT
57,337,-7,7,999,100,75,170,240,MOVE_RIGHT
50,344,-7,7,999,100,75,165,240,MOVE_RIGHT
50,344,-7,7,10.857142857142858,26.0,30,165,240,MOVE_LEFT
43,351,-7,7,999,100,75,160,240,MOVE_RIGHT
40,MOVE_LEFT
36,358,-7,7,8.857142857142858,26.0,20,155,240,MOVE_LEFT
36,358,-7,7,999,100,75,155,240,MOVE_RIGHT
29,365,-7,7,7.857142857142857,26.0,15,150,240,MOVE_LEFT
29,365,-7,7,999,100,75,150,240,MOVE_RIGHT
22,372,-7,7,999,100,75,145,240,MOVE_RIGHT
15,379,-7,7,999,100,75,140,240,MOVE_RIGHT
8,386,-7,7,4.857142857142857,26.0,0,135,240,MOVE_RIGHT
8,386,-7,7,999,100,75,135,240,MOVE_RIGHT
0,400,-1,7,2.857142857142857,2.857142857142857,0,125,240,MOVE_LEFT
14,410,7,3,3.3333333333333335,37.333333333333336,0,115,240,MOVE_RIGHT
21,403,7,-7,46.142857142857146,56.0,80,110,240,MOVE_LEFT
28,396,7,-7,45.142857142857146,56.0,75,105,240,MOVE_LEFT
35,389,7,-7,999,100,15,100,240,MOVE_RIGHT
35,389,7,-7,44.142857142857146,56.0,70,100,240,MOVE_LEFT
42,382,7,-7,43.142857142857146,56.0,65,95,240,MOVE_LEFT
42,382,7,-7,999,100,20,95,240,MOVE_RIGHT
49,375,7,-7,42.142857142857146,56.0,60,90,240,MOVE_LEFT
56,368,7,-7,999,100,30,85,240,MOVE_RIGHT
56,368,7,-7,41.142857142857146,56.0,55,85,240,MOVE_LEFT
63,361,7,-7,40.142857142857146,56.0,50,80,240,MOVE_LEFT
70,354,7,-7,39.142857142857146,56.0,45,75,240,MOVE_LEFT
70,354,7,-7,999,100,40,75,240,MOVE_RIGHT
77,347,7,-7,999,100,45,70,240,MOVE_RIGHT
84,340,7,-7,999,100,50,65,240,MOVE_RIGHT
91,333,7,-7,999,100,55,60,240,MOVE_RIGHT
98,326,7,-7,35.142857142857146,56.0,45,55,240,MOVE_LEFT
98,326,7,-7,999,100,60,55,240,MOVE_RIGHT
105,319,7,-7,34.142857142857146,56.0,45,50,240,MOVE_LEFT
112,312,7,-7,999,100,70,45,240,MOVE_RIGHT
119,305,7,-7,999,100,75,40,240,MOVE_RIGHT
126,298,7,-7,999,100,75,35,240,MOVE_RIGHT
133,291,7,-7,999,100,75,30,240,MOVE_RIGHT
240,MOVE_RIGHT
140,284,7,-7,999,100,75,25,240,MOVE_RIGHT
140,284,7,-7,29.142857142857142,56.0,30,25,240,MOVE_RIGHT
147,277,7,-7,28.142857142857142,56.0,30,20,240,MOVE_RIGHT
147,277,7,-7,999,100,75,20,240,MOVE_RIGHT
154,270,7,-7,999,100,75,15,240,MOVE_RIGHT
154,270,7,-7,27.142857142857142,56.0,30,15,240,MOVE_RIGHT
161,263,7,-7,26.142857142857142,56.0,30,10,240,MOVE_RIGHT
168,256,7,-7,999,100,75,5,240,MOVE_RIGHT
168,256,7,-7,25.142857142857142,56.0,30,5,240,MOVE_RIGHT
175,249,7,-7,24.142857142857142,56.0,30,0,240,MOVE_RIGHT
190,228,1,-7,21.142857142857142,188.85714285714286,35,15,240,MOVE_RIGHT
183,221,-7,-7,999,100,85,20,240,MOVE_LEFT
183,221,-7,-7,20.142857142857142,42.0,40,20,240,MOVE_LEFT
176,214,-7,-7,19.142857142857142,42.0,35,25,240,MOVE_LEFT
169,207,-7,-7,18.142857142857142,42.0,30,30,240,MOVE_LEFT
134,172,-7,-7,999,100,85,55,240,MOVE_LEFT
120,158,-7,-7,999,100,85,65,240,MOVE_LEFT
113,151,-7,-7,999,100,85,70,240,MOVE_LEFT
,240,MOVE_LEFT
99,137,-7,-7,999,100,85,80,240,MOVE_LEFT
57,95,-7,-7,999,100,85,110,240,MOVE_LEFT
240,MOVE_LEFT
50,88,-7,-7,1.1428571428571428,42.0,30,115,240,MOVE_LEFT
50,88,-7,-7,999,100,85,115,240,MOVE_LEFT
36,80,-7,-1,0.0,36.0,25,125,240,MOVE_LEFT
29,87,-7,7,999,100,20,130,240,MOVE_RIGHT
22,94,-7,7,999,100,25,135,240,MOVE_RIGHT
15,101,-7,7,999,100,30,140,240,MOVE_RIGHT
8,108,-7,7,999,100,35,145,240,MOVE_RIGHT
8,108,-7,7,44.57142857142857,96.0,70,145,240,MOVE_RIGHT
1,115,-7,7,999,100,40,150,240,MOVE_RIGHT
0,122,-1,7,999,100,45,155,240,MOVE_RIGHT
0,122,-1,7,42.57142857142857,42.57142857142857,75,155,240,MOVE_LEFT
7,129,7,7,41.57142857142857,102.0,70,160,240,MOVE_RIGHT
7,129,7,7,999,100,50,160,240,MOVE_RIGHT
15,137,8,8,35.375,102.0,70,165,240,MOVE_RIGHT
15,137,8,8,999,100,55,165,240,MOVE_RIGHT
23,145,8,8,999,100,60,170,240,MOVE_RIGHT
23,145,8,8,34.375,102.0,75,170,240,MOVE_RIGHT
31,153,8,8,999,100,65,165,240,MOVE_RIGHT
39,161,8,8,999,100,70,160,240,MOVE_RIGHT
47,169,8,8,999,100,75,155,240,MOVE_RIGHT
79,201,8,8,27.375,102.0,90,135,240,MOVE_LEFT
79,201,8,8,999,100,85,135,240,MOVE_LEFT
87,209,8,8,26.375,102.0,90,130,240,MOVE_LEFT
87,209,8,8,999,100,85,130,240,MOVE_LEFT
111,230,8,5,38.0,15.0,80,115,240,MOVE_LEFT
111,230,8,5,999,100,75,115,240,MOVE_RIGHT
119,222,8,-8,999,100,75,110,240,MOVE_RIGHT
119,222,8,-8,17.75,139.0,75,110,240,MOVE_RIGHT
127,214,8,-8,16.75,139.0,80,105,240,MOVE_RIGHT
135,206,8,-8,999,100,85,100,240,MOVE_LEFT
135,206,8,-8,15.75,139.0,85,100,240,MOVE_RIGHT
143,198,8,-8,14.75,139.0,90,95,240,MOVE_RIGHT
151,190,8,-8,999,100,85,90,240,MOVE_LEFT
151,190,8,-8,13.75,139.0,95,90,240,MOVE_RIGHT
159,182,8,-8,12.75,139.0,100,85,240,MOVE_RIGHT
167,174,8,-8,999,100,85,80,240,MOVE_LEFT
167,174,8,-8,11.75,139.0,105,80,240,MOVE_RIGHT
175,166,8,-8,10.75,139.0,110,75,240,MOVE_RIGHT
175,166,8,-8,999,100,85,75,240,MOVE_LEFT
183,158,8,-8,999,100,85,70,240,MOVE_LEFT
190,150,7,-8,8.75,148.75,115,65,240,MOVE_RIGHT
182,142,-8,-8,7.75,120.0,120,60,240,MOVE_LEFT
174,134,-8,-8,6.75,120.0,115,55,240,MOVE_LEFT
166,126,-8,-8,5.75,120.0,110,50,240,MOVE_LEFT
158,118,-8,-8,4.75,120.0,105,45,240,MOVE_LEFT
158,118,-8,-8,999,100,75,45,240,MOVE_RIGHT
150,110,-8,-8,999,100,75,40,240,MOVE_RIGHT
142,102,-8,-8,999,100,75,35,240,MOVE_RIGHT
142,102,-8,-8,2.75,120.0,95,35,240,MOVE_RIGHT
134,94,-8,-8,1.75,120.0,95,30,240,MOVE_RIGHT
134,94,-8,-8,999,100,75,30,240,MOVE_RIGHT
110,88,-8,8,999,100,100,15,240,MOVE_LEFT
110,88,-8,8,41.5,178.0,80,15,240,MOVE_RIGHT
102,96,-8,8,40.5,178.0,85,10,240,MOVE_RIGHT
102,96,-8,8,999,100,95,10,240,MOVE_LEFT
94,104,-8,8,39.5,178.0,90,5,240,MOVE_RIGHT
94,104,-8,8,999,100,90,5,240,MOVE_LEFT
86,112,-8,8,999,100,85,0,240,MOVE_LEFT
86,112,-8,8,38.5,178.0,95,0,240,MOVE_RIGHT
78,120,-8,8,37.5,178.0,100,5,240,MOVE_RIGHT
78,120,-8,8,999,100,85,5,240,MOVE_LEFT
70,128,-8,8,999,100,85,10,240,MOVE_LEFT
70,128,-8,8,36.5,178.0,105,10,240,MOVE_RIGHT
62,136,-8,8,999,100,85,15,240,MOVE_LEFT
GHT
54,144,-8,8,34.5,178.0,115,20,240,MOVE_RIGHT
54,144,-8,8,999,100,85,20,240,MOVE_LEFT
46,152,-8,8,999,100,85,25,240,MOVE_LEFT
46,152,-8,8,33.5,178.0,120,25,240,MOVE_RIGHT
38,160,-8,8,32.5,178.0,125,30,240,MOVE_RIGHT
30,168,-8,8,999,100,85,35,240,MOVE_LEFT
GHT
22,176,-8,8,30.5,178.0,135,40,240,MOVE_RIGHT
14,184,-8,8,999,100,75,45,240,MOVE_RIGHT
14,184,-8,8,29.5,178.0,140,45,240,MOVE_RIGHT
6,192,-8,8,28.5,178.0,145,50,240,MOVE_RIGHT
0,200,-6,8,27.5,165.0,150,55,240,MOVE_LEFT
8,208,8,8,999,100,85,60,240,MOVE_LEFT
8,208,8,8,26.5,180.0,150,60,240,MOVE_RIGHT
16,216,8,8,25.5,180.0,155,65,240,MOVE_RIGHT
16,216,8,8,999,100,85,65,240,MOVE_LEFT
24,224,8,8,24.5,180.0,155,70,240,MOVE_RIGHT
32,232,8,8,23.5,180.0,155,75,240,MOVE_RIGHT
64,264,8,8,999,100,75,95,240,MOVE_RIGHT
HT
72,272,8,8,999,100,75,100,240,MOVE_RIGHT
HT
96,296,8,8,999,100,85,115,240,MOVE_LEFT
104,304,8,8,14.5,180.0,155,120,240,MOVE_RIGHT
112,312,8,8,999,100,85,125,240,MOVE_LEFT
128,328,8,8,999,100,85,135,240,MOVE_LEFT
136,336,8,8,999,100,85,140,240,MOVE_LEFT
144,344,8,8,999,100,85,145,240,MOVE_LEFT
160,360,8,8,999,100,75,155,240,MOVE_RIGHT
T
184,384,8,8,999,100,85,170,240,MOVE_LEFT
190,392,6,8,3.5,189.0,160,165,240,MOVE_RIGHT
190,392,6,8,999,100,85,165,240,MOVE_LEFT
182,400,-8,8,2.5,162.0,160,160,240,MOVE_LEFT
174,408,-8,8,1.5,162.0,155,155,240,MOVE_LEFT
174,408,-8,8,999,100,85,155,240,MOVE_LEFT
166,410,-8,2,5.0,126.0,150,150,240,MOVE_LEFT
155,402,-11,-8,999,100,145,145,240,MOVE_LEFT
155,402,-11,-8,40.25,112.25,85,145,240,MOVE_RIGHT
144,394,-11,-8,999,100,140,140,240,MOVE_LEFT
144,394,-11,-8,39.25,112.25,85,140,240,MOVE_RIGHT
133,386,-11,-8,999,100,135,135,240,MOVE_LEFT
122,378,-11,-8,999,100,130,130,240,MOVE_LEFT
111,370,-11,-8,999,100,125,125,240,MOVE_LEFT
100,362,-11,-8,999,100,120,120,240,MOVE_LEFT
GHT
89,354,-11,-8,34.25,112.25,85,115,240,MOVE_RIGHT
78,346,-11,-8,999,100,110,110,240,MOVE_LEFT
67,338,-11,-8,999,100,105,105,240,MOVE_LEFT
67,338,-11,-8,32.25,112.25,85,105,240,MOVE_RIGHT
56,330,-11,-8,31.25,112.25,85,100,240,MOVE_RIGHT
56,330,-11,-8,999,100,100,100,240,MOVE_LEFT
45,322,-11,-8,999,100,95,95,240,MOVE_LEFT
34,314,-11,-8,29.25,112.25,85,90,240,MOVE_RIGHT
34,314,-11,-8,999,100,90,90,240,MOVE_LEFT
23,306,-11,-8,999,100,90,85,240,MOVE_LEFT
12,298,-11,-8,999,100,85,80,240,MOVE_LEFT
1,290,-11,-8,999,100,85,75,240,MOVE_LEFT
0,282,-1,-8,25.25,25.25,95,70,240,MOVE_LEFT
11,274,11,-8,24.25,122.25,90,65,240,MOVE_RIGHT
11,274,11,-8,999,100,75,65,240,MOVE_RIGHT
22,266,11,-8,23.25,122.25,95,60,240,MOVE_RIGHT
33,258,11,-8,999,100,85,55,240,MOVE_LEFT
40,250,7,-8,21.25,188.75,105,50,240,MOVE_RIGHT
29,242,-11,-8,20.25,193.75,110,45,240,MOVE_RIGHT
18,234,-11,-8,999,100,85,40,240,MOVE_LEFT
18,234,-11,-8,19.25,193.75,115,40,240,MOVE_RIGHT
7,226,-11,-8,18.25,193.75,120,35,240,MOVE_RIGHT
7,226,-11,-8,999,100,85,35,240,MOVE_LEFT
0,218,-7,-8,999,100,85,30,240,MOVE_LEFT
0,218,-7,-8,17.25,120.75,125,30,240,MOVE_LEFT
11,210,11,-8,16.25,189.75,120,25,240,MOVE_RIGHT
22,202,11,-8,999,100,85,20,240,MOVE_LEFT
22,202,11,-8,15.25,189.75,125,20,240,MOVE_RIGHT
34,193,12,-9,12.555555555555555,184.66666666666666,130,15,240,MOVE_RIGHT
